time,binance_day,open,high,low,close,volume,quote_volume_m,taker_buy_m,taker_sell_m,taker_net_m,day_cvd_m,range_cvd_m,buy_ratio,trades
2026-06-01 22:11:00+00:00,2026-06-01,70976.73,70976.73,70950.17,70957.99,7.00105,0.4968093148621,0.1864972597593,0.3103120551028,-0.12381479534350001,-0.12381479534350001,-0.12381479534350001,37.539002224840786,1755
2026-06-01 22:12:00+00:00,2026-06-01,70957.99,70991.11,70950.16,70987.6,21.67732,1.5385070274083,1.1317174234615002,0.40678960394679986,0.7249278195147002,0.6011130241712002,0.6011130241712002,73.55945753253663,2566
2026-06-01 22:13:00+00:00,2026-06-01,70987.6,70987.61,70970.18,70970.19,2.0145,0.1429949979314,0.0377330723438,0.10526192558759999,-0.0675288532438,0.5335841709274002,0.5335841709274002,26.38768690489576,936
2026-06-01 22:14:00+00:00,2026-06-01,70970.18,70994.0,70970.18,70976.01,15.66744,1.1122187592416999,0.9691169423048,0.1431018169368999,0.8260151253679001,1.3595992962953003,1.3595992962953003,87.13366271267844,2245
2026-06-01 22:15:00+00:00,2026-06-01,70976.01,70983.67,70976.0,70983.66,9.79105,0.6949388729384001,0.5262321644574,0.16870670848100003,0.35752545597639995,1.7171247522717001,1.7171247522717001,75.72351827612407,1105
2026-06-01 22:16:00+00:00,2026-06-01,70983.66,71000.0,70979.73,71000.0,3.3705,0.239266144503,0.20336054462150002,0.035905599881499974,0.16745494474000003,1.8845796970117004,1.8845796970117001,84.99344737798883,1255
2026-06-01 22:17:00+00:00,2026-06-01,71000.0,71061.48,71000.0,71042.01,14.50352,1.0301994744559,0.8797748229146001,0.1504246515413,0.7293501713733,2.613929868385,2.613929868385,85.39849269281109,3964
2026-06-01 22:18:00+00:00,2026-06-01,71042.01,71150.01,71042.0,71150.01,40.76583,2.8981722480539,2.6924151040761,0.20575714397779993,2.4866579600983,5.100587828483301,5.100587828483301,92.90045151333001,3976
2026-06-01 22:19:00+00:00,2026-06-01,71150.01,71174.98,71150.0,71172.6,54.26127,3.861524781513,3.3898698919680004,0.4716548895449997,2.9182150024230005,8.018802830906301,8.018802830906301,87.7857862831014,2468
2026-06-01 22:20:00+00:00,2026-06-01,71172.6,71181.55,71156.0,71171.21,8.60686,0.6125831717392,0.4733109455717,0.1392722261675,0.3340387194042,8.352841550310501,8.352841550310501,77.26476459154293,2274
