timestamp_utc,yield_pct,source
2026-06-12T00:00:00Z,4.956,CNBC
2026-06-12T00:01:00Z,4.956,CNBC
2026-06-12T00:02:00Z,4.957,CNBC
2026-06-12T00:03:00Z,4.957,CNBC
2026-06-12T00:07:00Z,4.957,CNBC
2026-06-12T00:08:00Z,4.957,CNBC
2026-06-12T00:09:00Z,4.956,CNBC
2026-06-12T00:10:00Z,4.957,CNBC
2026-06-12T00:11:00Z,4.957,CNBC
2026-06-12T00:12:00Z,4.958,CNBC
2026-06-12T00:13:00Z,4.958,CNBC
2026-06-12T00:14:00Z,4.958,CNBC
2026-06-12T00:15:00Z,4.958,CNBC
2026-06-12T00:16:00Z,4.958,CNBC
2026-06-12T00:18:00Z,4.957,CNBC
2026-06-12T00:19:00Z,4.956,CNBC
2026-06-12T00:21:00Z,4.956,CNBC
2026-06-12T00:24:00Z,4.955,CNBC
2026-06-12T00:25:00Z,4.956,CNBC
2026-06-12T00:26:00Z,4.956,CNBC
2026-06-12T00:28:00Z,4.956,CNBC
2026-06-12T00:29:00Z,4.956,CNBC
2026-06-12T00:30:00Z,4.956,CNBC
2026-06-12T00:31:00Z,4.956,CNBC
2026-06-12T00:32:00Z,4.956,CNBC
2026-06-12T00:33:00Z,4.957,CNBC
2026-06-12T00:36:00Z,4.958,CNBC
2026-06-12T00:37:00Z,4.958,CNBC
2026-06-12T00:39:00Z,4.958,CNBC
2026-06-12T00:40:00Z,4.96,CNBC
2026-06-12T00:41:00Z,4.96,CNBC
2026-06-12T00:42:00Z,4.961,CNBC
2026-06-12T00:43:00Z,4.961,CNBC
2026-06-12T00:45:00Z,4.96,CNBC
2026-06-12T00:46:00Z,4.96,CNBC
2026-06-12T00:47:00Z,4.961,CNBC
2026-06-12T00:50:00Z,4.961,CNBC
2026-06-12T00:51:00Z,4.961,CNBC
2026-06-12T00:52:00Z,4.961,CNBC
2026-06-12T00:53:00Z,4.961,CNBC
2026-06-12T00:54:00Z,4.961,CNBC
2026-06-12T00:56:00Z,4.961,CNBC
2026-06-12T00:57:00Z,4.962,CNBC
2026-06-12T00:58:00Z,4.962,CNBC
2026-06-12T01:01:00Z,4.961,CNBC
2026-06-12T01:02:00Z,4.961,CNBC
2026-06-12T01:04:00Z,4.961,CNBC
2026-06-12T01:05:00Z,4.961,CNBC
2026-06-12T01:07:00Z,4.961,CNBC
2026-06-12T01:08:00Z,4.961,CNBC
2026-06-12T01:09:00Z,4.96,CNBC
2026-06-12T01:10:00Z,4.96,CNBC
2026-06-12T01:11:00Z,4.961,CNBC
2026-06-12T01:12:00Z,4.96,CNBC
2026-06-12T01:13:00Z,4.96,CNBC
2026-06-12T01:14:00Z,4.961,CNBC
2026-06-12T01:15:00Z,4.961,CNBC
2026-06-12T01:16:00Z,4.961,CNBC
