date,taiex_close,margin_financing_twd,margin_financing_trillion_twd,foreign_net_buy_twd,foreign_net_buy_100m_twd,usdtwd,taiex_ratio,usdtwd_ratio
2014-04-17,8944.16015625,200425668000.0,0.200425668,926341359.0,9.26341359,30.149999618530273,103.85043338763506,103.45182730536146
2014-04-18,8966.66015625,200573525000.0,0.200573525,3393968489.0,33.93968489,,104.11168035888802,
2014-04-21,8951.1904296875,200409288000.0,0.200409288,969578693.0,9.69578693,30.190000534057617,103.93206172730739,103.58907997062012
2014-04-22,8974.7099609375,200355577000.0,0.200355577,2882794709.0,28.82794709,30.190000534057617,104.20514645194525,103.58907997062012
2014-04-23,8956.919921875,199748473000.0,0.199748473,4134442977.0,41.34442977,30.190000534057617,103.99858672645412,103.58907997062012
2014-04-24,8945.4501953125,200062893000.0,0.200062893,4875636021.0,48.75636021,30.28499984741211,103.865412000874,103.91504523375852
2014-04-25,8774.1201171875,196714305000.0,0.196714305,7060753520.0,70.6075352,,101.87610248999886,
2014-04-28,8809.7099609375,196474817000.0,0.196474817,4427184042.0,44.27184042,30.28499984741211,102.28933532942348,103.91504523375852
2014-04-29,8872.1103515625,197408305000.0,0.197408305,-1438358180.0,-14.3835818,29.450000762939453,103.0138647985694,101.0499645644404
2014-04-30,8791.4404296875,197943911000.0,0.197943911,-3007429938.0,-30.07429938,30.149999618530273,102.07720823141129,103.45182730536146
2014-05-02,8867.3203125,198056201000.0,0.198056201,9399205576.0,93.99205576,,102.95824776758,
2014-05-05,8870.4296875,199503048000.0,0.199503048,-306468366.0,-3.06468366,29.365999221801758,102.99435064763509,100.76173527631065
2014-05-06,8912.3896484375,200809063000.0,0.200809063,-2224523868.0,-22.24523868,30.110000610351562,103.48154676802686,103.31458118467008
2014-05-07,8893.2197265625,201246072000.0,0.201246072,-3726844454.0,-37.26844454,30.110000610351562,103.25896525562688,103.31458118467008
2014-05-08,8930.900390625,201963879000.0,0.201963879,1837529606.0,18.37529606,30.110000610351562,103.69647456056592,103.31458118467008
2014-05-09,8889.6904296875,202257428000.0,0.202257428,-5646133007.0,-56.46133007,,103.21798667254927,
2014-05-12,8808.6103515625,202447146000.0,0.202447146,-6329679741.0,-63.29679741,30.200000762939453,102.27656779081103,103.62339313693481
2014-05-13,8817.9404296875,201713697000.0,0.201713697,3546228200.0,35.462282,30.200000762939453,102.3848991086648,103.62339313693481
2014-05-14,8875.16015625,201504535000.0,0.201504535,7687835636.0,76.87835636,30.190000534057617,103.04927600912595,103.58907997062012
2014-05-15,8880.650390625,201766342000.0,0.201766342,1836574914.0,18.36574914,30.190000534057617,103.1130229914343,103.58907997062012
2014-05-16,8888.4501953125,201708558000.0,0.201708558,2156557543.0,21.56557543,,103.20358634036648,
2014-05-19,8899.900390625,202319377000.0,0.202319377,4520834391.0,45.20834391,30.1299991607666,103.33653428906185,103.38320097273213
2014-05-20,8887.7900390625,202318162000.0,0.202318162,1568448550.0,15.6844855,30.149999618530273,103.19592128166131,103.45182730536146
2014-05-21,8862.419921875,202744576000.0,0.202744576,-858476032.0,-8.58476032,30.158000946044922,102.90134944719165,103.47928176515357
2014-05-22,8969.6298828125,203382886000.0,0.203382886,5521970740.0,55.2197074,30.125,104.14616178421703,103.36604766185845
2014-05-23,9008.2197265625,204030215000.0,0.204030215,3569512926.0,35.69512926,,104.59422755314205,
2014-05-26,9036.1201171875,205064662000.0,0.205064662,598831613.0,5.98831613,29.371999740600586,104.91817833303342,100.7823244850129
2014-05-27,9055.2900390625,205399167000.0,0.205399167,584399074.0,5.84399074,29.430999755859375,105.14075984543341,100.98476758507233
2014-05-28,9121.7099609375,205480803000.0,0.205480803,6456752860.0,64.5675286,30.09000015258789,105.91195999746463,103.24595485204075
2014-05-29,9109.0,206151523000.0,0.206151523,4215925664.0,42.15925664,29.975000381469727,105.76438493970173,102.85136325627302
2014-05-30,9075.91015625,206289559000.0,0.206289559,-758173110.0,-7.5817311,,105.38017954152743,
2014-06-03,9123.4599609375,206698135000.0,0.206698135,2974733034.0,29.74733034,30.065000534057617,105.93227920633987,103.16017520853774
2014-06-04,9119.9599609375,207814964000.0,0.207814964,-1551524464.0,-15.51524464,30.04599952697754,105.89164078858941,103.09497822916967
2014-06-05,9140.7197265625,208608156000.0,0.208608156,372997456.0,3.72997456,29.201000213623047,106.13268193940952,100.19558439353686
2014-06-06,9134.4599609375,208875902000.0,0.208875902,775142091.0,7.75142091,,106.05999994784132,
2014-06-09,9162.740234375,208639304000.0,0.208639304,3826324132.0,38.26324132,29.989999771118164,106.38836153814144,102.90282973346136
2014-06-10,9222.3701171875,208008060000.0,0.20800806,9646413625.0,96.46413625,29.98900032043457,107.08072270618298,102.89940038020009
2014-06-11,9229.7998046875,208307766000.0,0.208307766,2889708605.0,28.89708605,30.020000457763672,107.16698863314882,103.00576923240537
2014-06-12,9204.650390625,209160738000.0,0.209160738,1978418449.0,19.78418449,29.98900032043457,106.87497937747703,102.89940038020009
2014-06-13,9196.3896484375,209970133000.0,0.209970133,1332642418.0,13.32642418,,106.77906409406432,
2014-06-16,9202.9296875,210832554000.0,0.210832554,5136015068.0,51.36015068,30.010000228881836,106.85500033392896,102.97145606609071
2014-06-17,9240.599609375,211461325000.0,0.211461325,3915381000.0,39.15381,30.040000915527344,107.2923849115814,103.0743955650347
2014-06-18,9279.9296875,210160150000.0,0.21016015,17134185477.0,171.34185477,29.989999771118164,107.74904552443911,102.90282973346136
2014-06-19,9316.8095703125,211148113000.0,0.211148113,7803021067.0,78.03021067,29.969999313354492,108.17725697710267,102.83420340083205
2014-06-20,9273.7900390625,211475889000.0,0.211475889,-867261382.0,-8.67261382,,107.67775821071224,
2014-06-23,9228.349609375,209695586000.0,0.209695586,4701989540.0,47.0198954,29.238000869750977,107.15015044945477,100.3225424544444
2014-06-24,9246.2001953125,210646073000.0,0.210646073,3415311068.0,34.15311068,29.950000762939453,107.35741318328868,102.76558361277
2014-06-25,9242.16015625,211121084000.0,0.211121084,3446205209.0,34.46205209,29.954999923706055,107.31050438467437,102.78273692364368
2014-06-26,9320.9404296875,212135805000.0,0.212135805,5480524970.0,54.8052497,29.905000686645508,108.22522028823116,102.61117763663763
2014-06-27,9306.830078125,211980113000.0,0.211980113,2953068575.0,29.53068575,,108.06138532783037,
2014-06-30,9393.0703125,211856840000.0,0.21185684,6246950859.0,62.46950859,29.864999771118164,109.06271866252435,102.47392497137898
2014-07-01,9441.919921875,211942248000.0,0.211942248,5248755792.0,52.48755792,29.19099998474121,109.6299103290181,100.1612712272222
2014-07-02,9484.9599609375,210679617000.0,0.210679617,8762033880.0,87.6203388,29.14299964904785,110.12964721113757,99.99657064673872
2014-07-03,9526.23046875,212066213000.0,0.212066213,324324353.0,3.24324353,29.905000686645508,110.608838107497,102.61117763663763
2014-07-04,9510.0498046875,212140412000.0,0.212140412,-5176547627.0,-51.76547627,,110.42096479731079,
2014-07-07,9520.2001953125,211617233000.0,0.211617233,4049252252.0,40.49252252,29.899999618530273,110.53882074432482,102.59401778119665
2014-07-08,9530.98046875,211631850000.0,0.21163185,2676250091.0,26.76250091,29.8799991607666,110.66399024587264,102.52539144856732
2014-07-09,9489.98046875,212336049000.0,0.212336049,-1961024865.0,-19.61024865,29.097999572753906,110.18794020936721,99.84216467060637
2014-07-10,9565.1201171875,212595727000.0,0.212595727,73472044.0,0.73472044,29.926000595092773,111.06038490160321,102.68323332252824
2014-07-11,9495.83984375,210723238000.0,0.210723238,1017637034.0,10.17637034,,110.25597327479768,
2014-07-14,9520.2998046875,212017176000.0,0.212017176,-2472301107.0,-24.72301107,29.940000534057617,110.53997730643714,102.73127044645534
2014-07-15,9569.169921875,213101156000.0,0.213101156,2814684483.0,28.14684483,29.940000534057617,111.1074070886599,102.73127044645534
2014-07-16,9484.73046875,214220844000.0,0.214220844,1231679334.0,12.31679334,29.969999313354492,110.12698258274153,102.83420340083205
2014-07-17,9408.240234375,215175463000.0,0.215175463,-2470406372.0,-24.70406372,30.030000686645508,109.23885626892383,103.04008239872005
2014-07-18,9400.9697265625,215874367000.0,0.215874367,1229477540.0,12.2947754,,109.15443857356885,
2014-07-21,9440.9697265625,215711398000.0,0.215711398,-119400058.0,-1.19400058,29.969999313354492,109.61887763357414,102.83420340083205
2014-07-22,9499.3603515625,215429815000.0,0.215429815,6677918831.0,66.77918831,29.288999557495117,110.29684980827714,100.49753109471173
2014-07-23,9499.3603515625,,,,,29.937000274658203,110.29684980827714,102.7209758421042
2014-07-24,9527.5400390625,216544269000.0,0.216544269,1666739952.0,16.66739952,29.94499969482422,110.62404349762072,102.74842375732902
2014-07-25,9439.2900390625,217334794000.0,0.217334794,-1254900772.0,-12.54900772,,109.59937482148408,
2014-07-28,9420.1796875,218028353000.0,0.218028353,2737773481.0,27.37773481,29.959999084472656,109.37748497858261,102.79989023451736
