date,total_buy,total_sell,daily_net,cumulative_net,bsa_net,bsa_cumulative,continuous_net,continuous_cumulative,huge_net,huge_cumulative
2020-02-11,16340.239999999998,12801.03,3539.21,35184.08,2549.14,25771.409999999996,1299.9599999999998,15264.599999999999,1249.1799999999994,10506.8
2020-02-12,15499.810000000001,11092.23,4407.58,39591.66,2515.68,28287.089999999997,892.79,16157.39,1622.8900000000003,12129.689999999999
2020-02-13,12858.01,11925.6,932.42,40524.08,735.27,29022.359999999997,461.32000000000016,16618.71,273.9399999999996,12403.629999999997
2020-02-14,12117.83,10054.34,2063.49,42587.57,2025.52,31047.879999999997,499.2199999999998,17117.93,1526.2999999999997,13929.929999999997
2020-02-17,11816.529999999999,8763.74,3052.79,45640.36,2751.75,33799.63,812.8100000000001,17930.74,1938.94,15868.869999999997
2020-02-18,12591.6,11829.58,762.02,46402.38,-79.59,33720.04,25.809999999999945,17956.550000000003,-105.40000000000055,15763.469999999998
2020-02-19,12692.010000000002,9371.650000000001,3320.37,49722.75,2417.58,36137.62,903.8800000000001,18860.430000000004,1513.7000000000003,17277.17
2020-02-20,13992.92,10924.529999999999,3068.4,52791.15,1289.71,37427.33,349.6399999999999,19210.070000000003,940.0600000000004,18217.23
2020-02-21,13524.26,12659.369999999999,864.89,53656.04,21.5,37448.83,-350.42999999999984,18859.640000000003,371.9300000000003,18589.16
2020-02-24,16241.36,15772.969999999998,468.38,54124.42,-527.55,36921.28,-579.44,18280.200000000004,51.900000000000546,18641.06
2020-02-25,17444.079999999998,12907.75,4536.35,58660.77,2693.13,39614.409999999996,1098.49,19378.690000000006,1594.6299999999992,20235.690000000002
2020-02-26,18770.660000000003,12349.74,6420.92,65081.689999999995,1944.38,41558.78999999999,788.1600000000003,20166.850000000006,1156.2200000000003,21391.910000000003
2020-02-27,18943.83,12836.189999999999,6107.64,71189.33,3049.58,44608.369999999995,953.1599999999999,21120.010000000006,2096.42,23488.33
2020-02-28,23858.77,20921.42,2937.35,74126.68000000001,185.85,44794.219999999994,-116.73999999999978,21003.270000000004,302.59000000000015,23790.920000000002
2020-03-02,19106.910000000003,14658.65,4448.26,78574.94,2670.72,47464.939999999995,1637.92,22641.190000000002,1032.8000000000002,24823.72
2020-03-03,18500.37,14370.380000000001,4129.99,82704.93000000001,2503.81,49968.74999999999,2285.3599999999997,24926.550000000003,218.4400000000005,25042.160000000003
2020-03-04,18679.260000000002,14061.130000000001,4618.13,87323.06000000001,2280.33,52249.079999999994,2022.1100000000001,26948.660000000003,258.21999999999935,25300.380000000005
2020-03-05,25140.71,16162.91,8977.81,96300.87000000001,4723.85,56972.92999999999,2578.78,29527.440000000002,2145.0700000000006,27445.450000000004
2020-03-06,19171.550000000003,16370.32,2801.24,99102.11000000002,152.81,57125.73999999999,87.39000000000033,29614.83,65.42000000000007,27510.870000000003
2020-03-09,32181.960000000003,30011.309999999998,2170.65,101272.76000000001,146.51,57272.24999999999,-28.050000000000182,29586.780000000002,174.5599999999995,27685.43
2020-03-10,26184.949999999997,19639.28,6545.68,107818.44,4443.91,61716.15999999999,2066.39,31653.170000000002,2377.5199999999995,30062.95
2020-03-11,18715.559999999998,16070.76,2644.78,110463.22,825.03,62541.18999999999,352.5999999999999,32005.77,472.4399999999996,30535.39
2020-03-12,27879.67,25143.18,2736.5,113199.72,369.1,62910.289999999986,125.23000000000047,32131.0,243.86000000000058,30779.25
2020-03-13,44722.6,32273.549999999996,12449.05,125648.77,6648.72,69559.00999999998,4435.85,36566.85,2212.869999999999,32992.119999999995
2020-03-16,30340.530000000002,27866.15,2474.39,128123.16,577.95,70136.95999999998,-15.970000000000255,36550.88,593.9200000000001,33586.03999999999
2020-03-17,28166.11,22807.06,5359.06,133482.22,3747.98,73884.93999999997,1519.7600000000002,38070.64,2228.21,35814.24999999999
2020-03-18,28383.49,28381.94,1.55,133483.77,-630.47,73254.46999999997,-1245.13,36825.51,614.6500000000015,36428.899999999994
2020-03-19,40698.53,34672.82000000001,6025.71,139509.47999999998,4026.01,77280.47999999997,927.1499999999996,37752.66,3098.8599999999988,39527.759999999995
2020-03-20,31418.800000000003,24317.46,7101.35,146610.83,5374.29,82654.76999999996,2803.15,40555.810000000005,2571.1400000000012,42098.899999999994
2020-03-23,25791.1,21088.85,4702.26,151313.09,1619.76,84274.52999999996,887.4400000000005,41443.25000000001,732.3099999999995,42831.20999999999
2020-03-24,25848.45,20213.39,5635.06,156948.15,4590.73,88865.25999999995,2389.42,43832.670000000006,2201.3100000000004,45032.51999999999
2020-03-25,28589.33,21172.58,7416.75,164364.9,4328.13,93193.38999999996,3263.29,47095.96000000001,1064.8400000000001,46097.359999999986
2020-03-26,19063.42,18792.48,270.94,164635.84,100.92,93294.30999999995,-85.69000000000005,47010.270000000004,186.61000000000058,46283.96999999999
2020-03-27,17330.25,17326.75,3.51,164639.35,798.21,94092.51999999996,828.3000000000002,47838.57000000001,-30.090000000000146,46253.87999999999
2020-03-30,16963.48,14882.880000000001,2080.59,166719.94,1807.71,95900.22999999997,1015.6700000000001,48854.240000000005,792.0500000000002,47045.92999999999
2020-03-31,16344.060000000001,14072.75,2271.31,168991.25,929.17,96829.39999999997,744.06,49598.3,185.10999999999967,47231.03999999999
2020-04-01,20874.059999999998,20003.77,870.29,169861.54,125.83,96955.22999999997,712.4099999999999,50310.71000000001,-586.5700000000006,46644.469999999994
2020-04-02,15410.849999999999,12211.57,3199.28,173060.82,2529.69,99484.91999999997,1599.36,51910.07000000001,930.3299999999999,47574.799999999996
2020-04-03,13072.24,11766.32,1305.91,174366.73,1144.93,100629.84999999996,895.1500000000001,52805.22000000001,249.7800000000002,47824.579999999994
2020-04-06,15188.56,11678.03,3510.54,177877.27000000002,3393.05,104022.89999999997,1646.0300000000002,54451.25000000001,1747.0099999999998,49571.59
2020-04-07,19276.89,16138.0,3138.89,181016.16000000003,2942.33,106965.22999999997,1969.5899999999997,56420.840000000004,972.7399999999998,50544.329999999994
2020-04-08,12791.86,11259.529999999999,1532.32,182548.48000000004,588.44,107553.66999999997,525.25,56946.090000000004,63.20000000000027,50607.52999999999
2020-04-09,14963.57,12300.92,2662.65,185211.13000000003,2620.71,110174.37999999998,1426.63,58372.72,1194.08,51801.60999999999
2020-04-14,16838.79,15015.599999999999,1823.19,187034.32000000004,1421.25,111595.62999999998,1191.8700000000003,59564.590000000004,229.3800000000001,52030.98999999999
2020-04-15,14110.23,14975.92,-865.69,186168.63000000003,-209.18,111386.44999999998,-293.92999999999984,59270.66,84.75,52115.73999999999
2020-04-16,16164.970000000001,13596.72,2568.25,188736.88000000003,2825.1,114211.54999999999,1840.3700000000003,61111.030000000006,984.7300000000005,53100.469999999994
2020-04-17,20389.85,16682.22,3707.63,192444.51000000004,2885.9,117097.44999999998,1776.5100000000002,62887.54000000001,1109.3899999999994,54209.85999999999
2020-04-20,12019.95,10679.98,1339.97,193784.48000000004,419.25,117516.69999999998,283.15999999999985,63170.70000000001,136.07999999999993,54345.939999999995
2020-04-21,15985.69,14994.3,991.39,194775.87000000005,185.94,117702.63999999998,77.20000000000027,63247.90000000001,108.73999999999978,54454.67999999999
2020-04-22,12488.54,10281.73,2206.81,196982.68000000005,1026.15,118728.78999999998,440.1300000000001,63688.030000000006,586.0100000000002,55040.689999999995
2020-04-23,11517.5,11241.960000000001,275.53,197258.21000000005,-229.27,118499.51999999997,275.1300000000001,63963.16,-504.3900000000003,54536.299999999996
2020-04-24,9751.470000000001,8690.189999999999,1061.28,198319.49000000005,178.58,118678.09999999998,75.86000000000013,64039.020000000004,102.73000000000002,54639.03
2020-04-27,12485.060000000001,10014.75,2470.3,200789.79000000004,2064.68,120742.77999999997,1222.47,65261.490000000005,842.21,55481.24
2020-04-28,14030.140000000001,10180.49,3849.65,204639.44000000003,3423.07,124165.84999999998,2477.63,67739.12000000001,945.4400000000005,56426.68
2020-04-29,11491.17,10220.45,1270.73,205910.17000000004,1159.34,125325.18999999997,567.94,68307.06000000001,591.4000000000001,57018.08
2020-05-04,18257.61,16494.85,1762.76,207672.93000000005,-519.92,124805.26999999997,-406.6600000000003,67900.40000000001,-113.26000000000022,56904.82
2020-05-05,9885.11,8389.560000000001,1495.56,209168.49000000005,963.21,125768.47999999998,392.24,68292.64000000001,570.9699999999998,57475.79
2020-05-06,14919.029999999999,13572.42,1346.59,210515.08000000005,1466.27,127234.74999999999,759.7000000000003,69052.34000000001,706.5799999999995,58182.37
2020-05-07,10829.89,10407.11,422.78,210937.86000000004,1117.83,128352.57999999999,405.03,69457.37000000001,712.8000000000002,58895.170000000006
2020-05-08,13107.920000000002,12161.89,946.03,211883.89000000004,971.34,129323.91999999998,406.80999999999995,69864.18000000001,564.5300000000007,59459.700000000004
2020-05-11,17063.14,16801.16,261.98,212145.87000000005,2293.66,131617.58,2166.42,72030.6,127.23999999999978,59586.94
2020-05-12,13768.18,13041.02,727.16,212873.03000000006,310.59,131928.16999999998,-193.11000000000013,71837.49,503.6900000000005,60090.630000000005
2020-05-13,14612.04,11718.31,2893.73,215766.76000000007,2896.08,134824.24999999997,889.81,72727.3,2006.2700000000004,62096.90000000001
2020-05-14,16276.759999999998,16076.900000000001,199.86,215966.62000000005,-1018.15,133806.09999999998,-409.8800000000001,72317.42,-608.2700000000004,61488.630000000005
2020-05-15,13761.95,13439.04,322.91,216289.53000000006,-169.47,133636.62999999998,307.44000000000005,72624.86,-476.90999999999985,61011.72
2020-05-18,14472.93,12206.189999999999,2266.74,218556.27000000005,1675.88,135312.50999999998,1640.8200000000002,74265.68000000001,35.0600000000004,61046.78
2020-05-19,18035.42,15898.04,2137.37,220693.64000000004,2862.75,138175.25999999998,2617.09,76882.77,245.67000000000007,61292.45
2020-05-20,13821.93,12579.15,1242.78,221936.42000000004,1019.49,139194.74999999997,888.6300000000001,77771.40000000001,130.86000000000058,61423.31
2020-05-21,13742.029999999999,13394.7,347.34,222283.76000000004,-391.28,138803.46999999997,110.86000000000013,77882.26000000001,-502.14999999999964,60921.159999999996
2020-05-22,32741.75,30835.72,1906.03,224189.79000000004,30.36,138833.82999999996,-721.9700000000003,77160.29000000001,752.3299999999999,61673.49
2020-05-25,20059.86,14451.79,5608.07,229797.86000000004,4069.87,142903.69999999995,2127.73,79288.02,1942.13,63615.619999999995
2020-05-26,14296.26,11810.76,2485.49,232283.35000000003,1817.45,144721.14999999997,970.4999999999998,80258.52,846.96,64462.579999999994
2020-05-27,16161.57,14268.61,1892.96,234176.31000000003,1118.99,145840.13999999996,462.7999999999997,80721.32,656.1899999999996,65118.77
2020-05-28,21027.03,18845.48,2181.56,236357.87000000002,2519.29,148359.42999999996,1119.6999999999998,81841.02,1399.58,66518.34999999999
2020-05-29,18006.71,13992.64,4014.07,240371.94000000003,2536.63,150896.05999999997,2308.46,84149.48000000001,228.17000000000007,66746.51999999999
2020-06-01,21784.489999999998,17295.25,4489.24,244861.18000000002,4879.51,155775.56999999998,4583.17,88732.65000000001,296.34000000000015,67042.85999999999
2020-06-02,17085.87,13588.74,3497.13,248358.31000000003,3310.9,159086.46999999997,3237.1100000000006,91969.76000000001,73.78999999999996,67116.64999999998
2020-06-03,21436.370000000003,19230.12,2206.24,250564.55000000002,1605.56,160692.02999999997,1475.7399999999998,93445.50000000001,129.82000000000062,67246.46999999999
2020-06-04,16033.439999999999,15551.609999999999,481.83,251046.38,85.94,160777.96999999997,482.1500000000001,93927.65000000001,-396.1999999999998,66850.26999999999
2020-06-05,21442.36,15462.22,5980.15,257026.53,5084.62,165862.58999999997,3218.13,97145.78000000001,1866.4800000000005,68716.74999999999
2020-06-08,17495.0,17384.56,110.43,257136.96,273.36,166135.94999999995,223.9100000000003,97369.69000000002,49.45000000000073,68766.19999999998
2020-06-09,20245.09,16673.35,3571.74,260708.69999999998,2495.74,168631.68999999994,1935.42,99305.11000000002,560.3099999999995,69326.50999999998
2020-06-10,21248.66,17735.559999999998,3513.11,264221.81,4172.07,172803.75999999995,2528.1499999999996,101833.26000000001,1643.92,70970.42999999998
2020-06-11,17332.879999999997,18477.84,-1144.96,263076.85,-894.56,171909.19999999995,316.3499999999999,102149.61000000002,-1210.8999999999996,69759.52999999998
